draw,tau
246,-2.579099797164182
247,-1.1993002684371579
248,-1.9574830005935349
249,-2.192649987823745
250,-2.9032329425261176
251,-1.7277462740740912
252,-1.6345480809413893
253,-2.5792068134178736
254,-2.35584448190371
255,-3.566365652329755
256,-3.566328071381693
257,-2.436642540050527
258,-3.6005529982487916
259,-1.5659721298112625
260,-2.9846200133117877
261,-1.5140180550757583
262,-2.136079588076959
263,-1.604041349438054
264,-1.1246965656024805
265,-1.603960235328552
266,-1.9060988375110801
267,-2.8448826869392976
268,-1.3597078550133972
269,-2.569116369228662
270,-1.6344509792278146
271,-1.5140026382139098
272,-1.7287846416704404
273,-1.9061504452461078
274,-2.5367399837428097
275,-1.91357631729118
276,-1.37526586320858
277,-1.6752107552903022
278,-1.7373532668799836
279,-1.6037453230603136
280,-1.72848791763316
281,-1.5658131931318602
282,-2.866716832112991
283,-1.5138046857808174
284,-2.5393275498995385
285,-1.703091448223499
286,-1.514038972833621
287,-1.1246504638064163
288,-2.837620260922594
289,-2.436497575752715
290,-1.7113568050929802
291,-1.6636705829896856
292,-1.984262147740309
293,-1.9058017755892829
294,-1.7126896519384616
295,-2.436372481934261
296,-2.192523333387581
297,-1.9062447845535937
298,-1.6343496257777543
299,-2.564343761147822
300,-1.6040638581868292
301,-1.5655117328713075
302,-1.5139857818644549
303,-1.9061961754044399
304,-1.6240456045104983
305,-1.6344262938262188
306,-1.6341993308158331
307,-2.577458069250386
308,-1.0044895064166672
309,-1.957515151660183
310,-2.9032431092217967
311,-1.603901001083674
312,-1.9059615764549056
313,-2.485109851546029
314,-2.8666650784057994
315,-2.486600292320161
316,-1.6041027863402215
317,-1.513938552277887
318,-1.5662533405214987
319,-1.5853851655319984
320,-2.4864888056889205
321,-1.6040551032225583
322,-1.5616607104850102
323,-2.1925859382105157
324,-2.356346110121396
325,-1.9574877801874093
326,-1.7367687903033415
327,-2.1144946535236864
328,-1.6343015688586542
329,-2.7000606334475217
330,-1.9059117284763358
331,-1.5137259705781778
332,-2.0009315719290486
333,-2.471640915911453
334,-1.906175727332161
335,-2.2910862510745362
336,-1.3754695448434076
337,-3.5665098073722303
338,-1.5662453821808215
339,-2.4460624390705563
340,-2.5377058127493877
341,-2.1618576623850503
342,-1.735942841279953
343,-2.64845544170836
344,-1.9060705286878479
345,-2.2628489297159
346,-2.5775224332448987
347,-1.315884940650922
348,-2.307599003847357
349,-1.604076795451367
350,-2.1925097730436223
351,-1.905903112621929
352,-1.728530302961067
353,-1.6039926904154695
354,-1.7119168675332803
355,-1.6040491069347445
356,-1.9058275334783064
357,-2.074760325669847
358,-1.9061668037941262
359,-1.9060243323511594
360,-2.8450519546064834
361,-2.283290158718759
362,-1.5140983141770752
363,-2.0425678959681397
364,-1.5140019716973283
365,-1.736521796824639
366,-1.6038432803313327
367,-1.561941067690749
368,-1.5141262780186109
369,-2.9032332395517697
370,-2.2834917662029133
371,-2.577349920127948
372,-1.5137234644344373
373,-1.1474859575728784
374,-2.739606891335499
375,-1.5137929589196046
376,-3.5751451896363493
377,-1.3159843699932194
378,-2.4358071264686307
379,-1.9061805548369621
380,-1.5141617903935058
381,-2.903369402833044
382,-2.902914535745606
383,-2.7985082365338814
384,-2.4867243685101235
385,-1.6343070136400533
386,-1.5139432134494983
387,-1.603916956944615
388,-3.1511176754074564
389,-1.703416243052014
390,-1.634527195775184
391,-1.9575424347168395
392,-2.2426297768516106
393,-1.6039671230713068
394,-1.5659113689011699
395,-2.3555749366692575
396,-1.513842945890306
397,-2.4851515936355577
398,-1.6040392745386685
399,-2.866646580496311
400,-2.0013208290154205
401,-2.3557238533244513
402,-1.566195663083187
403,-2.1927743879020385
404,-3.273831298714323
405,-1.665769517699582
406,-3.575246043490373
407,-2.539137039523067
408,-2.4365497181092914
409,-1.514039340273981
410,-1.9057537812843757
411,-2.86820607183805
412,-1.9576441268753682
413,-2.5393089332332144
414,-2.984424183606401
415,-1.9060317024543236
416,-1.0044783729031659
417,-1.7292730581965792
418,-1.9575986478769805
419,-1.6038900136238148
420,-1.7038781568068169
421,-1.5850417257018128
422,-1.6041551164858392
423,-2.6073056060675066
